,Timestamp_Rounded,Open,High,Low,Close,Volume,Sentiment_Value,news_count
0,2019-01-01 00:00:00,3693.85,3698.79,3693.85,3698.0,5.49128865,0.0,0.0
1,2019-01-01 00:01:00,3694.72,3694.72,3690.65,3690.65,9.50015102,0.0,0.0
2,2019-01-01 00:02:00,3689.73,3689.73,3686.62,3686.62,0.965966,0.0,0.0
3,2019-01-01 00:03:00,3692.85,3692.85,3688.32,3692.35,0.296662,0.0,0.0
4,2019-01-01 00:04:00,3692.35,3692.35,3690.34,3690.34,0.111622,0.0,0.0
5,2019-01-01 00:05:00,3690.4,3690.85,3690.4,3690.85,2.2476759,0.0,0.0
6,2019-01-01 00:06:00,3688.61,3688.61,3687.08,3687.08,1.556315,0.0,0.0
7,2019-01-01 00:07:00,3684.59,3685.52,3684.59,3684.77,0.82300943,0.0,0.0
8,2019-01-01 00:08:00,3684.97,3688.79,3683.45,3683.45,4.49312139,0.0,0.0
9,2019-01-01 00:09:00,3685.0,3685.12,3684.58,3685.12,1.07718735,0.0,0.0
10,2019-01-01 00:10:00,3685.46,3694.96,3684.91,3694.96,3.58345316,0.0,0.0
11,2019-01-01 00:15:00,3690.83,3690.85,3690.83,3690.85,0.44381314,0.0,0.0
12,2019-01-01 00:16:00,3690.61,3690.61,3687.96,3687.96,0.15,0.0,0.0
13,2019-01-01 00:18:00,3690.15,3690.15,3690.15,3690.15,0.005,0.0,0.0
14,2019-01-01 00:20:00,3688.75,3688.85,3688.75,3688.85,0.92209538,0.0,0.0
15,2019-01-01 00:22:00,3688.35,3688.35,3688.35,3688.35,1.06300377,0.0,0.0
16,2019-01-01 00:23:00,3688.35,3688.35,3688.35,3688.35,0.10276953,0.0,0.0
17,2019-01-01 00:25:00,3684.81,3684.81,3684.81,3684.81,0.11602487,0.0,0.0
18,2019-01-01 00:26:00,3684.81,3688.35,3684.81,3688.35,0.16276668,0.0,0.0
19,2019-01-01 00:28:00,3688.85,3688.85,3688.85,3688.85,0.01816648,0.0,0.0
20,2019-01-01 00:29:00,3686.27,3688.85,3686.27,3688.85,0.5036,0.0,0.0
21,2019-01-01 00:30:00,3688.85,3688.85,3688.85,3688.85,2.33955856,0.0,0.0
22,2019-01-01 00:31:00,3688.85,3688.85,3688.85,3688.85,12.91291804,0.0,0.0
23,2019-01-01 00:32:00,3689.1,3693.98,3689.1,3693.98,4.55441824,0.0,0.0
24,2019-01-01 00:33:00,3693.73,3698.5,3693.73,3697.06,5.404,0.0,0.0
25,2019-01-01 00:34:00,3697.06,3698.49,3694.57,3698.49,0.56645434,0.0,0.0
26,2019-01-01 00:35:00,3697.84,3697.85,3695.58,3695.58,2.53430965,0.0,0.0
27,2019-01-01 00:36:00,3695.58,3696.87,3693.14,3696.87,4.18516439,-0.4,1.0
28,2019-01-01 00:38:00,3695.26,3695.26,3695.26,3695.26,0.1979471,0.0,0.0
29,2019-01-01 00:39:00,3696.87,3696.87,3696.87,3696.87,0.045916000000000005,0.0,0.0
30,2019-01-01 00:42:00,3693.48,3698.19,3693.48,3698.19,0.53989306,0.0,0.0
31,2019-01-01 00:43:00,3696.85,3696.85,3696.85,3696.85,0.030602,0.0,0.0
32,2019-01-01 00:45:00,3696.85,3696.85,3696.35,3696.35,1.22018505,-1.0,1.0
33,2019-01-01 00:46:00,3696.35,3696.35,3696.35,3696.35,0.02586797,0.0,0.0
34,2019-01-01 00:48:00,3698.78,3700.0,3698.51,3700.0,1.75685211,0.0,0.0
35,2019-01-01 00:49:00,3700.77,3701.98,3697.97,3697.97,1.29879399,0.0,0.0
36,2019-01-01 00:50:00,3701.85,3703.25,3698.53,3703.25,0.41522689,0.0,0.0
37,2019-01-01 00:52:00,3701.34,3702.67,3698.71,3702.67,1.41325478,0.0,0.0
38,2019-01-01 00:55:00,3699.31,3699.31,3698.04,3698.04,4.48735502,0.0,0.0
39,2019-01-01 00:56:00,3698.04,3699.05,3698.04,3699.05,0.15141331,0.0,0.0
40,2019-01-01 00:57:00,3697.76,3698.33,3696.12,3696.12,1.25836051,0.0,0.0
41,2019-01-01 00:58:00,3695.21,3695.21,3692.36,3692.63,13.4196555,0.0,0.0
42,2019-01-01 00:59:00,3692.3,3693.83,3692.3,3693.83,2.07501947,0.0,0.0
43,2019-01-01 01:00:00,3692.89,3694.36,3692.89,3694.36,4.79932027,0.0,0.0
44,2019-01-01 01:01:00,3694.36,3694.92,3694.36,3694.92,5.40947713,0.0,0.0
45,2019-01-01 01:02:00,3692.0,3692.0,3691.53,3691.53,0.521,0.0,0.0
46,2019-01-01 01:03:00,3691.53,3691.53,3691.53,3691.53,0.01354451,0.0,0.0
47,2019-01-01 01:05:00,3691.71,3692.59,3691.71,3692.59,0.65315178,0.0,0.0
48,2019-01-01 01:06:00,3692.66,3693.37,3692.66,3693.37,5.02651694,0.0,0.0
49,2019-01-01 01:07:00,3691.8,3691.8,3691.8,3691.8,2.5,0.0,0.0
50,2019-01-01 01:08:00,3689.03,3689.03,3688.85,3688.85,6.87215877,0.0,0.0
51,2019-01-01 01:09:00,3688.85,3692.18,3688.85,3690.6,7.62182612,0.0,0.0
52,2019-01-01 01:10:00,3691.52,3693.35,3691.52,3693.35,1.0410716,0.0,0.0
53,2019-01-01 01:11:00,3693.35,3693.35,3693.35,3693.35,0.00384745,0.0,0.0
54,2019-01-01 01:12:00,3693.36,3694.28,3693.36,3694.28,0.08900000000000001,0.0,0.0
55,2019-01-01 01:15:00,3694.85,3699.35,3694.28,3694.53,5.51179166,0.0,0.0
56,2019-01-01 01:16:00,3695.35,3696.0,3693.12,3695.35,7.0337439,0.0,0.0
57,2019-01-01 01:17:00,3693.12,3693.98,3693.12,3693.98,0.21190861,0.0,0.0
58,2019-01-01 01:18:00,3692.31,3693.23,3692.31,3693.13,1.20444043,0.0,0.0
59,2019-01-01 01:19:00,3691.34,3691.34,3691.34,3691.34,0.0490628,0.0,0.0
60,2019-01-01 01:20:00,3692.09,3693.35,3692.09,3692.09,0.21398343,0.0,0.0
61,2019-01-01 01:22:00,3690.63,3690.63,3689.99,3689.99,0.01138564,0.0,0.0
